kanji,yomi
悪事千里,あくじせんり
阿鼻叫喚,あびきょうかん
暗中模索,あんちゅうもさく
意気軒昂,いきけんこう
以心伝心,いしんでんしん
一蓮托生,いちれんたくしょう
一騎当千,いっきとうせん
一刻千金,いっこくせんきん
一朝一夕,いっちょういっせき
威風堂々,いふうどうどう
有為転変,ういてんぺん
紆余曲折,うよきょくせつ
温厚篤実,おんこうとくじつ
我田引水,がでんいんすい
画竜点睛,がりょうてんせい
疑心暗鬼,ぎしんあんき
虚心坦懐,きょしんたんかい
金科玉条,きんかぎょくじょう
金城湯池,きんじょうとうち
鯨飲馬食,げいいんばしょく
軽挙妄動,けいきょもうどう
厚顔無恥,こうがんむち
荒唐無稽,こうとうむけい
五里霧中,ごりむちゅう
四海兄弟,しかいけいてい
縦横無尽,じゅうおうむじん
主客転倒,しゅかくてんとう
順風満帆,じゅんぷうまんぱん
針小棒大,しんしょうぼうだい
深謀遠慮,しんぼうえんりょ
森羅万象,しんらばんしょう
青天白日,せいてんはくじつ
清廉潔白,せいれんけっぱく
千変万化,せんぺんばんか
大器晩成,たいきばんせい
泰然自若,たいぜんじじゃく
多岐亡羊,たきぼうよう
短慮軽率,たんりょけいそつ
朝三暮四,ちょうさんぼし
徹頭徹尾,てっとうてつび
当意即妙,とういそくみょう
同工異曲,どうこういきょく
内憂外患,ないゆうがいかん
南船北馬,なんせんほくば
二律背反,にりつはいはん
破顔一笑,はがんいっしょう
博覧強記,はくらんきょうき
不即不離,ふそくふり
付和雷同,ふわらいどう
粉骨砕身,ふんこつさいしん
片言隻語,へんげんせきご
傍若無人,ぼうじゃくぶじん
無我夢中,むがむちゅう
無知蒙昧,むちもうまい
明鏡止水,めいきょうしすい
勇往邁進,ゆうおうまいしん
悠悠閑閑,ゆうゆうかんかん
悠悠自適,ゆうゆうじてき
羊頭狗肉,ようとうくにく
乱臣賊子,らんしんぞくし
竜頭蛇尾,りゅうとうだび
和魂洋才,わこんようさい
